customer_id,customer_fname,customer_lname,customer_email,customer_segment,customer_city,customer_state,customer_country,customer_street,customer_zipcode
20755,Cally,Holloway,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,5365 Noble Nectar Island,725.0
19492,Irene,Luna,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,2679 Rustic Loop,725.0
19491,Gillian,Maldonado,XXXXXXXXX,Consumer,San Jose,CA,EE. UU.,8510 Round Bear Gate,95125.0
19490,Tana,Tate,XXXXXXXXX,Home Office,Los Angeles,CA,EE. UU.,3200 Amber Bend,90027.0
19489,Orli,Hendricks,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,8671 Iron Anchor Corners,725.0
19488,Kimberly,Flowers,XXXXXXXXX,Consumer,Tonawanda,NY,EE. UU.,2122 Hazy Corner,14150.0
19487,Constance,Terrell,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,1879 Green Pine Bank,725.0
19486,Erica,Stevens,XXXXXXXXX,Corporate,Miami,FL,EE. UU.,7595 Cotton Log Row,33162.0
19485,Nichole,Olsen,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,2051 Dusty Route,725.0
19484,Oprah,Delacruz,XXXXXXXXX,Corporate,San Ramon,CA,EE. UU.,9139 Blue Blossom Court,94583.0
19483,Germane,Short,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,4058 Quiet Heights,725.0
19482,Freya,Robbins,XXXXXXXXX,Consumer,Freeport,NY,EE. UU.,3243 Shady Corner,11520.0
19481,Cassandra,Jensen,XXXXXXXXX,Corporate,Salinas,CA,EE. UU.,131 Sunny Treasure Green,93905.0
19480,Natalie,Mcfadden,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,2531 Wishing Square,725.0
19479,Kimberley,Sharpe,XXXXXXXXX,Corporate,Peabody,MA,EE. UU.,6417 Silver Towers,1960.0
19478,Sade,Lancaster,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,257 Harvest Close,725.0
19477,Brynne,Giles,XXXXXXXXX,Corporate,Canovanas,PR,Puerto Rico,7342 Hazy Beacon Park,729.0
19476,Ciara,Bird,XXXXXXXXX,Corporate,Paramount,CA,EE. UU.,7787 Lazy Corners,90723.0
19475,Bo,Griffin,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,5136 Rustic Pioneer Estates,725.0
19474,Kim,Simon,XXXXXXXXX,Consumer,Mount Prospect,IL,EE. UU.,1723 Tawny Via,60056.0
19473,Kellie,Farmer,XXXXXXXXX,Corporate,Long Beach,CA,EE. UU.,7111 Silent Fox Gardens,90813.0
19472,Alma,Conley,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,3732 Old Mountain Bank,725.0
19471,Yeo,Bird,XXXXXXXXX,Corporate,Rancho Cordova,CA,EE. UU.,6217 Rustic Lake Forest,95670.0
19470,Lucy,Mcknight,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,1082 Quiet Treasure Link,725.0
19469,Simone,Vance,XXXXXXXXX,Corporate,Billings,MT,EE. UU.,3176 Round Gate,59102.0
19468,Roary,Wheeler,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,1426 Fallen Line,725.0
19467,Quail,Ashley,XXXXXXXXX,Consumer,Wilkes Barre,PA,EE. UU.,9814 Emerald Prairie Limits,18702.0
19466,Hannah,Velez,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,8271 Tawny Elk Abbey,725.0
19465,Evelyn,Kelly,XXXXXXXXX,Corporate,Roseville,MI,EE. UU.,3931 Gentle Ramp,48066.0
19464,Jael,Mcfarland,XXXXXXXXX,Consumer,Bellflower,CA,EE. UU.,9699 Honey Rise,90706.0
19463,Teagan,Romero,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,1564 Rocky Terrace,725.0
19462,Joan,Wilder,XXXXXXXXX,Consumer,Wheaton,IL,EE. UU.,4294 High Passage,60187.0
19461,Basia,Watts,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,5918 Golden Beacon Freeway,725.0
19460,Dominique,Rogers,XXXXXXXXX,Consumer,Detroit,MI,EE. UU.,3915 Broad Lookout,48238.0
19459,Ainsley,Mathis,XXXXXXXXX,Consumer,Dallas,TX,EE. UU.,7190 Silver Horse Glade,75220.0
19458,Aurora,Sharp,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,830 Broad Beacon Maze,725.0
19457,Libby,Bray,XXXXXXXXX,Corporate,Carlisle,PA,EE. UU.,6127 Dewy Goose Downs,17013.0
19456,Amy,Lindsay,XXXXXXXXX,Corporate,Dallas,TX,EE. UU.,1188 Old Abbey,75228.0
19455,Ivory,Parks,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,7004 Hazy Lake Townline,725.0
19454,Karina,Prince,XXXXXXXXX,Consumer,Newark,DE,EE. UU.,2556 Umber Autoroute,19702.0
19453,Deanna,Goff,XXXXXXXXX,Consumer,Panorama City,CA,EE. UU.,3722 Thunder Cape,91402.0
19452,Dacey,Walters,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,2676 Velvet Common,725.0
19451,Adele,Pennington,XXXXXXXXX,Home Office,Atlanta,GA,EE. UU.,833 Amber Anchor Glen,30318.0
19450,Sybill,Spencer,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,830 Quaking Bear Grounds,725.0
